# Project Fijnstof fake microSD log
# Plausibele testdata, niet gebruiken als echte meting
tijd_ms,pm1_ug_m3,pm25_ug_m3,pm10_ug_m3,aqi
720000,13.09,27.95,43.91,4
725000,13.54,28.88,45.61,4
730000,13.25,28.98,48.21,4
735000,13.62,29.03,47.69,4
740000,13.60,28.41,45.85,4
745000,13.09,28.07,44.31,4
750000,13.66,28.51,46.41,4
755000,12.70,26.96,42.57,4
760000,12.77,26.82,43.44,4
765000,12.82,27.49,43.07,4
770000,12.51,26.91,44.74,4
775000,12.83,27.14,44.03,4
780000,12.41,26.88,42.60,4
785000,12.08,25.87,42.41,4
790000,11.89,25.08,39.20,4
795000,11.57,24.80,39.63,3
800000,12.00,25.25,40.65,4
805000,11.57,24.28,37.83,3
810000,10.86,23.13,37.00,3
815000,10.65,23.33,36.83,3
820000,10.39,22.36,36.74,3
825000,10.36,22.30,35.93,3
830000,10.65,22.24,34.67,3
835000,10.60,21.79,35.78,3
840000,9.88,20.95,34.66,3
845000,9.81,20.73,32.63,3
850000,9.27,19.27,29.83,2
855000,9.19,19.85,30.54,2
860000,9.33,19.60,31.91,2
865000,8.58,19.04,30.94,2
870000,8.91,18.14,28.86,2
875000,8.78,17.89,27.36,2
880000,8.17,16.78,27.87,2
885000,7.72,16.67,25.03,2
890000,7.80,17.13,27.97,2
895000,7.28,15.79,24.33,2
900000,7.77,16.34,25.96,2
905000,6.77,15.20,23.74,2
910000,7.22,15.20,23.10,2
915000,7.44,15.04,24.17,2
920000,6.66,13.46,20.91,2
925000,6.22,13.27,20.64,2
930000,6.28,14.20,20.79,2
935000,6.20,13.63,21.16,2
940000,6.18,12.96,21.10,2
945000,5.84,12.22,18.61,2
950000,5.87,12.68,20.66,2
955000,5.34,11.80,18.41,2
960000,5.73,12.15,19.45,2
965000,5.10,11.24,17.02,2
970000,5.81,12.36,18.56,2
975000,5.46,11.66,18.24,2
980000,5.11,11.00,16.11,2
985000,5.68,11.57,17.49,2
990000,4.85,10.47,16.43,2
995000,4.86,10.80,16.22,2
1000000,4.98,10.84,17.08,2
1005000,4.43,10.10,16.04,2
1010000,4.80,10.51,16.01,2
1015000,4.59,10.18,14.35,2
1020000,4.96,10.83,16.05,2
1025000,5.16,10.40,15.35,2
1030000,4.59,9.77,15.56,1
1035000,4.83,10.62,17.42,2
1040000,4.78,10.67,16.30,2
1045000,4.47,9.79,15.06,1
1050000,4.59,9.50,15.15,1
1055000,4.39,9.36,13.59,1
1060000,5.09,10.21,15.85,2
1065000,4.92,10.14,13.90,2
1070000,4.62,9.79,16.19,1
1075000,4.14,9.20,15.22,1
1080000,5.20,10.31,16.57,2
1085000,3.80,8.97,13.01,1
1090000,4.52,10.06,14.13,2
1095000,4.63,9.28,13.37,1
1100000,4.22,9.65,14.77,1
1105000,4.23,9.42,12.66,1
1110000,4.55,9.10,13.88,1
1115000,4.50,9.75,15.96,1
1120000,4.40,9.35,15.17,1
1125000,4.52,9.36,13.88,1
1130000,3.83,8.71,11.49,1
1135000,4.21,9.33,13.11,1
1140000,4.74,9.82,14.91,1
1145000,4.60,9.15,13.95,1
1150000,4.51,9.82,14.24,1
1155000,4.44,9.37,13.12,1
1160000,4.40,9.62,14.32,1
1165000,4.11,9.11,12.79,1
1170000,4.28,9.02,13.34,1
1175000,4.72,9.41,13.83,1
1180000,3.77,8.84,12.85,1
1185000,3.92,9.10,14.32,1
1190000,4.65,9.42,13.64,1
1195000,4.53,9.07,12.57,1
1200000,4.63,9.47,13.53,1
1205000,4.73,9.52,12.81,1
1210000,4.47,9.19,13.01,1
1215000,3.86,8.62,11.94,1
1220000,4.22,8.98,12.71,1
1225000,3.99,8.96,14.21,1
1230000,4.57,9.56,14.05,1
1235000,4.71,9.85,13.88,1
1240000,4.38,9.25,12.69,1
1245000,4.53,9.31,13.17,1
1250000,4.71,9.58,14.50,1
1255000,4.00,8.91,13.02,1
1260000,4.53,9.40,14.86,1
1265000,4.19,8.49,13.02,1
1270000,4.39,9.90,14.58,1
1275000,4.88,9.87,13.75,1
1280000,4.31,9.71,15.55,1
1285000,4.48,8.95,11.57,1
1290000,4.02,8.70,11.99,1
1295000,4.38,8.91,14.05,1
1300000,4.55,9.34,12.49,1
1305000,4.03,8.46,11.65,1
1310000,4.09,9.32,14.66,1
1315000,4.78,9.88,14.15,1
1320000,4.43,9.80,14.36,1
1325000,4.19,9.15,13.85,1
1330000,3.88,8.45,11.37,1
1335000,3.75,8.80,12.23,1
1340000,4.04,9.35,14.18,1
1345000,4.38,9.37,14.85,1
1350000,4.24,9.03,12.86,1
1355000,3.94,8.80,13.06,1
1360000,4.41,9.23,13.07,1
1365000,3.91,8.85,12.35,1
1370000,4.05,9.20,13.65,1
1375000,4.10,9.17,14.58,1
1380000,4.42,9.10,11.91,1
1385000,4.56,9.66,12.83,1
1390000,3.86,9.09,14.21,1
1395000,3.88,8.82,13.96,1
1400000,3.97,9.02,13.93,1
1405000,4.16,8.63,13.70,1
1410000,4.04,8.98,13.77,1
1415000,3.67,8.87,12.32,1
1420000,4.28,9.00,13.25,1
1425000,4.09,9.77,13.54,1
1430000,4.16,9.26,13.99,1
1435000,3.74,8.97,13.59,1
1440000,4.27,8.83,13.17,1
1445000,2.24,4.53,7.49,1
1450000,2.60,5.01,8.39,1
1455000,2.04,4.77,6.53,1
1460000,2.70,5.34,8.49,1
1465000,2.37,5.09,8.46,1
1470000,2.01,4.85,6.43,1
1475000,2.33,4.47,7.81,1
1480000,2.38,5.50,7.41,1
1485000,1.74,4.07,7.30,1
1490000,2.30,4.47,6.62,1
1495000,2.36,5.35,8.89,1
1500000,2.25,4.28,7.26,1
1505000,1.62,4.50,7.15,1
1510000,2.02,5.40,7.21,1
1515000,1.94,4.75,7.90,1
1520000,1.88,4.93,6.99,1
1525000,2.53,5.15,7.53,1
1530000,1.79,4.43,6.57,1
1535000,2.42,4.62,5.77,1
1540000,2.43,5.21,6.78,1
1545000,2.71,5.55,8.50,1
1550000,2.15,4.82,7.54,1
1555000,2.02,5.10,7.20,1
1560000,1.90,4.81,7.84,1
1565000,1.85,4.74,6.52,1
1570000,2.06,5.16,7.07,1
1575000,2.23,5.66,8.05,1
1580000,2.05,4.40,7.56,1
1585000,2.00,4.48,7.25,1
1590000,2.71,5.61,7.28,1
1595000,2.69,5.70,7.95,1
1600000,2.14,5.58,7.79,1
1605000,2.70,5.77,9.47,1
1610000,2.50,5.58,8.16,1
1615000,2.26,4.97,6.21,1
1620000,2.31,5.38,8.76,1
1625000,2.25,5.00,6.25,1
1630000,2.07,5.63,8.29,1
1635000,2.69,5.69,7.27,1
1640000,2.74,5.63,9.46,1
1645000,2.52,5.93,9.51,1
1650000,2.53,6.09,10.29,1
1655000,2.10,5.39,7.59,1
1660000,2.81,6.02,10.08,1
1665000,3.00,6.25,9.56,1
1670000,2.20,5.48,7.50,1
1675000,2.92,6.51,10.87,1
1680000,2.74,5.65,8.10,1
1685000,3.10,6.71,9.67,1
1690000,2.67,6.16,10.30,1
1695000,3.02,6.75,9.95,1
1700000,2.82,6.81,11.43,1
1705000,2.79,6.70,8.54,1
1710000,2.53,6.19,7.83,1
1715000,3.24,7.12,9.97,1
1720000,2.48,6.66,8.80,1
1725000,2.82,6.90,11.25,1
1730000,3.11,7.07,9.94,1
1735000,3.13,6.67,11.41,1
1740000,3.33,6.89,10.80,1
1745000,3.51,7.67,12.50,1
1750000,3.62,7.88,11.94,1
1755000,2.93,7.68,10.70,1
1760000,3.26,8.39,11.81,1
1765000,3.18,7.97,11.13,1
1770000,3.65,8.14,11.52,1
1775000,3.22,8.47,11.84,1
1780000,4.03,9.36,14.61,1
1785000,4.08,9.36,14.30,1
1790000,3.89,8.78,14.27,1
1795000,4.10,9.29,14.84,1
1800000,3.82,9.55,13.40,1
1805000,4.77,10.51,16.67,2
1810000,3.95,10.25,15.84,2
1815000,4.47,9.95,15.50,1
1820000,4.94,11.27,17.09,2
1825000,4.83,10.57,16.42,2
1830000,5.07,11.44,16.09,2
1835000,4.91,11.20,17.96,2
1840000,5.26,12.66,20.51,2
1845000,5.02,12.79,19.44,2
1850000,5.77,13.40,20.20,2
1855000,5.44,12.90,18.96,2
1860000,7.95,18.54,29.34,2
1865000,7.87,18.47,29.62,2
1870000,7.81,18.38,27.76,2
1875000,8.18,19.67,30.83,2
1880000,7.84,19.30,31.03,2
1885000,8.26,19.69,31.30,2
1890000,8.57,20.80,32.35,3
1895000,8.26,20.58,32.40,3
1900000,8.84,21.67,33.30,3
1905000,8.96,20.72,31.96,3
1910000,8.74,21.15,32.49,3
1915000,9.19,21.94,34.95,3
1920000,9.49,22.11,33.17,3
1925000,9.61,23.57,36.37,3
1930000,9.90,23.20,36.66,3
1935000,9.79,24.64,39.69,3
1940000,10.08,24.58,40.04,3
1945000,10.55,25.26,40.59,4
1950000,10.56,25.23,40.67,4
1955000,10.59,25.16,38.35,4
1960000,10.80,25.58,39.17,4
1965000,10.90,25.96,40.22,4
1970000,10.83,26.41,42.48,4
1975000,11.25,26.71,40.87,4
1980000,11.45,27.79,44.29,4
1985000,11.60,28.00,44.83,4
1990000,11.58,28.78,46.35,4
1995000,11.87,29.03,46.78,4
2000000,11.78,28.45,44.46,4
2005000,12.36,29.68,48.51,4
2010000,11.77,29.77,46.05,4
2015000,12.28,30.13,49.15,4
2020000,12.63,30.20,49.01,4
2025000,12.69,30.67,50.52,4
2030000,12.48,30.09,49.16,4
2035000,12.63,31.45,51.17,4
2040000,12.91,31.83,50.86,4
2045000,13.09,31.39,49.16,4
2050000,13.00,31.49,51.24,4
2055000,12.50,31.42,50.71,4
2060000,13.13,32.41,52.94,4
2065000,13.34,32.73,53.34,4
2070000,13.29,31.98,52.14,4
2075000,13.12,32.60,52.57,4
2080000,13.73,33.04,52.65,4
2085000,13.35,32.93,53.51,4
2090000,13.00,32.61,52.52,4
2095000,13.61,32.81,52.09,4
2100000,13.14,32.38,51.94,4
2105000,13.11,32.42,53.99,4
2110000,12.98,32.29,52.36,4
2115000,12.98,32.82,53.77,4
2120000,12.56,31.69,52.86,4
2125000,12.63,32.03,51.65,4
2130000,13.22,32.32,53.86,4
2135000,13.32,32.53,51.61,4
2140000,13.43,32.57,52.94,4
2145000,12.75,32.11,52.99,4
2150000,13.13,31.95,52.86,4
2155000,12.35,30.60,50.93,4
2160000,12.15,30.42,50.87,4
2165000,12.46,30.37,50.64,4
2170000,12.63,30.85,50.53,4
2175000,11.69,29.51,49.51,4
2180000,11.96,30.03,49.52,4
2185000,11.57,29.80,49.46,4
2190000,11.57,29.59,47.89,4
2195000,11.31,29.24,48.07,4
2200000,11.17,28.16,46.93,4
2205000,11.76,28.82,48.34,4
2210000,10.68,27.12,43.28,4
2215000,11.12,27.97,46.10,4
2220000,11.10,27.43,46.43,4
2225000,10.70,27.38,45.94,4
2230000,10.54,26.73,45.02,4
2235000,10.55,26.21,42.69,4
2240000,9.66,25.31,41.73,4
2245000,9.99,24.36,41.53,3
2250000,9.71,24.87,41.96,3
2255000,9.90,24.21,39.16,3
2260000,9.16,24.07,39.81,3
2265000,8.96,23.55,39.34,3
2270000,9.27,23.10,39.57,3
2275000,9.22,22.36,36.83,3
2280000,8.42,21.58,37.17,3
2285000,8.63,21.65,36.09,3
2290000,8.14,20.96,34.14,3
2295000,7.58,20.14,34.82,3
2300000,7.75,19.96,33.45,2
2305000,7.94,20.52,34.27,3
2310000,7.29,19.38,32.12,2
2315000,7.17,19.22,31.08,2
2320000,7.70,19.26,31.31,2
2325000,7.25,17.97,28.96,2
2330000,7.12,18.43,31.55,2
2335000,6.48,16.73,28.80,2
2340000,6.92,16.97,29.60,2
2345000,6.46,16.99,27.79,2
2350000,6.58,16.68,28.96,2
2355000,6.85,16.45,27.73,2
2360000,6.68,16.22,26.89,2
2365000,6.23,15.79,27.43,2
2370000,5.49,15.01,26.08,2
2375000,6.06,15.28,25.05,2
2380000,5.81,14.54,24.06,2
2385000,5.57,14.38,22.72,2
2390000,5.40,13.48,21.56,2
2395000,5.62,13.57,21.27,2
2400000,5.71,13.61,22.43,2
2405000,5.13,13.50,23.50,2
2410000,4.66,12.12,19.74,2
2415000,4.60,12.58,20.88,2
2420000,5.37,12.96,22.29,2
2425000,4.65,12.53,20.14,2
2430000,5.23,12.39,20.28,2
2435000,4.44,11.45,19.55,2
2440000,4.22,11.51,17.67,2
2445000,4.51,12.02,21.16,2
2450000,4.19,11.63,18.75,2
2455000,4.48,10.61,18.77,2
2460000,4.13,10.89,16.67,2
2465000,4.10,10.92,16.75,2
2470000,4.49,11.27,19.15,2
2475000,4.06,10.38,18.59,2
2480000,4.28,11.07,17.92,2
2485000,4.21,10.35,17.41,2
2490000,3.54,9.84,15.74,1
2495000,4.35,10.75,16.39,2
2500000,3.83,10.11,16.23,2
2505000,3.77,9.96,15.86,1
2510000,3.75,9.75,14.77,1
2515000,3.32,9.29,13.78,1
2520000,3.45,9.29,15.74,1
2525000,3.47,9.12,15.69,1
2530000,4.22,9.97,15.87,1
2535000,3.73,9.95,15.96,1
2540000,4.08,10.10,17.50,2
2545000,3.95,9.14,14.18,1
2550000,4.13,9.93,16.40,1
2555000,3.70,9.47,16.98,1
2560000,3.39,9.21,16.24,1
2565000,4.04,9.80,16.16,1
2570000,4.07,9.75,14.46,1
2575000,3.84,8.99,14.95,1
2580000,3.81,9.09,15.23,1
2585000,3.65,8.53,13.64,1
2590000,3.28,8.69,14.59,1
2595000,3.12,8.46,14.92,1
2600000,3.65,9.00,16.05,1
2605000,3.73,9.61,15.03,1
2610000,3.42,8.88,14.12,1
2615000,3.87,9.07,13.49,1
2620000,3.55,9.46,16.45,1
2625000,3.39,8.74,13.24,1
2630000,3.38,8.94,15.93,1
2635000,3.46,9.36,14.99,1
2640000,3.38,8.37,12.48,1
2645000,3.85,9.72,14.98,1
2650000,3.23,8.84,12.94,1
2655000,4.13,9.71,16.92,1
2660000,3.56,8.45,13.14,1
2665000,3.47,8.48,13.00,1
2670000,3.46,9.41,15.43,1
2675000,3.84,9.88,15.88,1
2680000,3.50,9.00,14.28,1
2685000,3.69,9.36,15.66,1
2690000,3.47,8.98,13.25,1
2695000,2.98,8.57,14.31,1
2700000,3.18,9.05,14.06,1
2705000,3.16,9.02,13.99,1
2710000,3.39,8.68,13.69,1
2715000,3.03,8.60,12.63,1
2720000,3.63,9.62,14.70,1
2725000,3.57,9.78,15.27,1
2730000,3.98,9.22,16.01,1
2735000,3.39,9.34,14.39,1
2740000,4.22,10.04,16.63,2
2745000,3.89,9.24,16.32,1
2750000,4.01,9.77,16.69,1
2755000,4.39,10.53,16.99,2
2760000,4.51,10.46,16.16,2
2765000,4.34,10.04,17.18,2
2770000,3.75,9.35,16.39,1
2775000,3.84,10.35,18.31,2
2780000,4.38,10.57,18.52,2
2785000,3.76,10.40,18.62,2
2790000,4.15,10.93,18.06,2
2795000,4.76,11.50,18.85,2
2800000,4.50,11.86,20.88,2
2805000,4.08,11.12,19.38,2
2810000,4.77,11.54,20.28,2
2815000,4.43,11.39,21.83,2
2820000,5.03,12.91,22.79,2
2825000,4.96,12.25,22.61,2
2830000,5.34,13.84,25.20,2
2835000,5.54,13.47,24.83,2
2840000,5.34,13.47,26.48,2
2845000,5.67,14.12,27.86,2
2850000,5.82,14.31,27.70,2
2855000,6.03,16.13,33.21,2
2860000,6.48,15.81,33.09,2
2865000,6.41,16.27,34.07,2
2870000,7.22,17.30,34.89,2
2875000,7.19,17.71,36.92,2
2880000,7.20,18.19,38.31,2
2885000,7.61,19.14,40.60,3
2890000,7.77,18.78,40.43,3
2895000,8.37,20.15,41.84,3
2900000,8.24,20.13,42.40,3
2905000,8.35,20.57,43.55,3
2910000,8.23,21.09,46.15,3
2915000,8.10,20.98,45.14,3
2920000,8.72,21.51,47.02,3
2925000,8.60,21.91,47.43,3
2930000,9.21,22.90,51.45,4
2935000,9.11,22.11,47.95,3
2940000,9.16,22.72,50.93,4
2945000,8.99,23.17,51.47,4
2950000,8.96,22.85,50.48,4
2955000,9.27,22.24,49.66,3
2960000,8.38,21.65,48.96,3
2965000,8.90,22.19,49.37,3
2970000,9.15,21.98,47.40,3
2975000,8.98,21.74,45.34,3
2980000,8.42,21.22,45.68,3
2985000,8.32,20.89,42.49,3
2990000,7.73,19.63,40.60,3
2995000,7.65,19.00,40.42,3
3000000,8.09,19.10,38.35,2
3005000,7.31,18.28,35.94,2
3010000,6.94,17.73,36.34,2
3015000,7.55,17.93,34.85,2
3020000,6.41,16.54,32.06,2
3025000,6.61,16.25,31.65,2
3030000,6.26,15.61,29.12,2
3035000,5.95,15.01,28.87,2
3040000,6.02,15.14,27.67,2
3045000,5.80,14.63,26.61,2
3050000,5.61,13.72,25.01,2
3055000,5.90,14.42,23.60,2
3060000,5.56,13.96,24.64,2
3065000,5.37,13.47,22.51,2
3070000,5.35,12.49,22.17,2
3075000,5.36,12.62,21.28,2
3080000,5.45,12.41,19.97,2
3085000,5.08,12.31,19.64,2
3090000,4.94,12.02,20.07,2
3095000,4.39,11.24,18.90,2
3100000,4.88,11.13,18.07,2
3105000,4.68,11.02,17.51,2
3110000,4.98,11.60,16.95,2
3115000,4.31,10.91,15.46,2
3120000,4.75,11.22,17.33,2
3125000,4.83,10.94,15.74,2
3130000,4.66,12.08,18.12,2
3135000,4.65,10.84,17.05,2
3140000,5.26,11.85,17.71,2
3145000,4.82,11.80,16.22,2
3150000,5.08,11.61,16.27,2
3155000,4.54,11.77,18.53,2
3160000,4.79,12.02,16.36,2
3165000,5.33,12.01,17.44,2
3170000,4.48,11.41,17.78,2
3175000,4.49,10.82,16.60,2
3180000,4.86,11.68,16.52,2
3185000,4.03,10.64,15.09,2
3190000,4.84,10.97,15.23,2
3195000,5.11,11.70,16.91,2
3200000,4.81,10.94,17.27,2
3205000,4.51,10.71,15.23,2
3210000,4.80,11.68,16.05,2
3215000,4.89,11.15,17.23,2
3220000,4.42,11.15,15.05,2
3225000,4.93,11.50,16.72,2
3230000,4.25,11.04,15.71,2
3235000,4.97,11.68,16.34,2
3240000,4.95,11.30,15.84,2
3245000,4.71,11.43,15.95,2
3250000,4.73,11.57,16.81,2
3255000,4.51,10.60,15.40,2
3260000,4.89,11.69,16.38,2
3265000,4.50,11.19,15.69,2
3270000,5.36,11.94,18.17,2
3275000,4.54,11.57,17.45,2
3280000,5.08,11.23,17.62,2
3285000,4.77,11.27,16.43,2
3290000,5.10,11.82,17.10,2
3295000,4.66,11.91,16.38,2
3300000,5.16,11.67,18.02,2
3305000,4.98,11.55,17.24,2
3310000,4.76,10.91,16.57,2
3315000,4.88,10.73,14.83,2
3320000,5.16,11.48,17.07,2
3325000,4.50,10.94,17.02,2
3330000,4.82,11.33,15.16,2
3335000,4.92,11.72,17.59,2
3340000,4.67,11.34,17.74,2
3345000,4.50,10.65,15.18,2
3350000,4.55,10.82,16.66,2
3355000,5.26,11.84,15.87,2
3360000,4.41,10.58,14.61,2
3365000,4.58,11.13,17.42,2
3370000,5.36,11.74,16.04,2
3375000,4.66,11.58,16.73,2
3380000,4.42,10.91,15.83,2
3385000,4.76,10.94,14.37,2
3390000,4.73,10.77,16.62,2
3395000,4.57,11.07,16.94,2
3400000,4.80,11.79,18.01,2
3405000,5.00,10.93,15.99,2
3410000,4.97,10.62,15.13,2
3415000,4.92,11.58,17.69,2
3420000,4.19,10.49,14.32,2
3425000,4.64,11.06,16.49,2
3430000,4.32,10.86,14.38,2
3435000,4.60,10.71,15.85,2
3440000,4.73,10.72,16.38,2
3445000,5.00,10.66,15.18,2
3450000,5.04,10.98,15.52,2
3455000,4.96,10.96,16.17,2
3460000,4.57,10.65,15.41,2
3465000,4.73,10.64,14.73,2
3470000,4.57,11.32,17.76,2
3475000,4.94,11.21,15.10,2
3480000,4.80,11.53,18.11,2
3485000,4.43,10.88,15.94,2
3490000,4.72,10.80,16.18,2
3495000,4.62,10.36,13.75,2
3500000,4.64,11.33,17.43,2
3505000,4.50,11.01,16.45,2
3510000,4.83,11.11,16.80,2
3515000,4.60,10.35,16.41,2
3520000,4.70,10.90,17.06,2
3525000,4.95,11.25,15.97,2
3530000,4.02,10.01,14.72,2
3535000,4.77,10.92,15.83,2
3540000,4.59,11.25,15.96,2
3545000,4.52,10.45,15.26,2
3550000,4.59,11.04,16.03,2
3555000,4.75,9.88,15.36,1
3560000,4.41,10.13,14.56,2
3565000,5.26,11.12,15.77,2
3570000,4.76,9.96,16.01,1
3575000,4.74,10.40,14.28,2
3580000,4.78,10.40,14.47,2
3585000,3.97,9.63,14.53,1
3590000,4.54,10.85,16.54,2
3595000,4.86,10.76,15.30,2
3600000,4.40,10.75,15.01,2
